Read length	Number of total reads	Extract	Number of damaged reads	Sample	Type	Dup
42	7	3	1	11B	Indels	42-3-11B-Indels
42	4675	1	791	11A	Normal	42-1-11A-Normal
42	3954	1	122	I4411	Normal	42-1-I4411-Normal
42	685	1	271	11B	Normal	42-1-11B-Normal
42	1094	1	360	11B_ss	Normal	42-1-11B_ss-Normal
42	3074	2	449	11A	Normal	42-2-11A-Normal
42	343	2	135	11B	Normal	42-2-11B-Normal
42	1416	3	208	11A	Normal	42-3-11A-Normal
42	513	3	219	11B	Normal	42-3-11B-Normal
42	4645	1	789	11A	SNPs	42-1-11A-SNPs
42	3857	1	121	I4411	SNPs	42-1-I4411-SNPs
42	676	1	270	11B	SNPs	42-1-11B-SNPs
42	1082	1	357	11B_ss	SNPs	42-1-11B_ss-SNPs
42	3056	2	449	11A	SNPs	42-2-11A-SNPs
42	338	2	133	11B	SNPs	42-2-11B-SNPs
42	1407	3	207	11A	SNPs	42-3-11A-SNPs
42	506	3	218	11B	SNPs	42-3-11B-SNPs
43	27	1	5	11A	Indels	43-1-11A-Indels
43	101	1	3	I4411	Indels	43-1-I4411-Indels
43	4	1	3	11B	Indels	43-1-11B-Indels
43	5	1	1	11B_ss	Indels	43-1-11B_ss-Indels
43	17	2	4	11A	Indels	43-2-11A-Indels
43	2	2	0	11B	Indels	43-2-11B-Indels
43	4	3	0	11A	Indels	43-3-11A-Indels
43	3	3	2	11B	Indels	43-3-11B-Indels
43	4512	1	793	11A	Normal	43-1-11A-Normal
43	3925	1	135	I4411	Normal	43-1-I4411-Normal
43	593	1	246	11B	Normal	43-1-11B-Normal
43	982	1	324	11B_ss	Normal	43-1-11B_ss-Normal
43	3016	2	400	11A	Normal	43-2-11A-Normal
43	289	2	125	11B	Normal	43-2-11B-Normal
43	1284	3	193	11A	Normal	43-3-11A-Normal
43	519	3	218	11B	Normal	43-3-11B-Normal
43	4485	1	788	11A	SNPs	43-1-11A-SNPs
43	3824	1	132	I4411	SNPs	43-1-I4411-SNPs
43	589	1	243	11B	SNPs	43-1-11B-SNPs
43	977	1	323	11B_ss	SNPs	43-1-11B_ss-SNPs
43	2999	2	396	11A	SNPs	43-2-11A-SNPs
43	287	2	125	11B	SNPs	43-2-11B-SNPs
43	1280	3	193	11A	SNPs	43-3-11A-SNPs
43	516	3	216	11B	SNPs	43-3-11B-SNPs
44	38	1	5	11A	Indels	44-1-11A-Indels
44	98	1	1	I4411	Indels	44-1-I4411-Indels
44	3	1	0	11B	Indels	44-1-11B-Indels
44	4	1	2	11B_ss	Indels	44-1-11B_ss-Indels
44	13	2	1	11A	Indels	44-2-11A-Indels
44	5	2	1	11B	Indels	44-2-11B-Indels
44	9	3	2	11A	Indels	44-3-11A-Indels
44	2	3	0	11B	Indels	44-3-11B-Indels
44	4201	1	727	11A	Normal	44-1-11A-Normal
44	3797	1	116	I4411	Normal	44-1-I4411-Normal
44	528	1	220	11B	Normal	44-1-11B-Normal
44	887	1	288	11B_ss	Normal	44-1-11B_ss-Normal
44	2710	2	356	11A	Normal	44-2-11A-Normal
44	324	2	127	11B	Normal	44-2-11B-Normal
44	1232	3	163	11A	Normal	44-3-11A-Normal
44	502	3	235	11B	Normal	44-3-11B-Normal
44	4163	1	722	11A	SNPs	44-1-11A-SNPs
44	3699	1	115	I4411	SNPs	44-1-I4411-SNPs
44	525	1	220	11B	SNPs	44-1-11B-SNPs
44	883	1	286	11B_ss	SNPs	44-1-11B_ss-SNPs
44	2697	2	355	11A	SNPs	44-2-11A-SNPs
44	319	2	126	11B	SNPs	44-2-11B-SNPs
44	1223	3	161	11A	SNPs	44-3-11A-SNPs
44	500	3	235	11B	SNPs	44-3-11B-SNPs
45	30	1	0	11A	Indels	45-1-11A-Indels
45	70	1	1	I4411	Indels	45-1-I4411-Indels
45	5	1	0	11B	Indels	45-1-11B-Indels
45	3	1	1	11B_ss	Indels	45-1-11B_ss-Indels
45	20	2	2	11A	Indels	45-2-11A-Indels
45	3	2	2	11B	Indels	45-2-11B-Indels
45	7	3	0	11A	Indels	45-3-11A-Indels
45	2	3	0	11B	Indels	45-3-11B-Indels
45	3905	1	699	11A	Normal	45-1-11A-Normal
45	3746	1	120	I4411	Normal	45-1-I4411-Normal
45	509	1	211	11B	Normal	45-1-11B-Normal
45	786	1	233	11B_ss	Normal	45-1-11B_ss-Normal
45	2534	2	331	11A	Normal	45-2-11A-Normal
45	286	2	122	11B	Normal	45-2-11B-Normal
45	1054	3	170	11A	Normal	45-3-11A-Normal
45	428	3	187	11B	Normal	45-3-11B-Normal
45	3875	1	699	11A	SNPs	45-1-11A-SNPs
45	3676	1	119	I4411	SNPs	45-1-I4411-SNPs
45	504	1	211	11B	SNPs	45-1-11B-SNPs
45	783	1	232	11B_ss	SNPs	45-1-11B_ss-SNPs
45	2514	2	329	11A	SNPs	45-2-11A-SNPs
45	283	2	120	11B	SNPs	45-2-11B-SNPs
45	1047	3	170	11A	SNPs	45-3-11A-SNPs
45	426	3	187	11B	SNPs	45-3-11B-SNPs
46	31	1	5	11A	Indels	46-1-11A-Indels
46	89	1	2	I4411	Indels	46-1-I4411-Indels
46	1	1	1	11B	Indels	46-1-11B-Indels
46	3	1	0	11B_ss	Indels	46-1-11B_ss-Indels
46	21	2	0	11A	Indels	46-2-11A-Indels
46	1	2	0	11B	Indels	46-2-11B-Indels
46	5	3	1	11A	Indels	46-3-11A-Indels
46	2	3	0	11B	Indels	46-3-11B-Indels
46	3647	1	692	11A	Normal	46-1-11A-Normal
46	3776	1	100	I4411	Normal	46-1-I4411-Normal
46	440	1	182	11B	Normal	46-1-11B-Normal
46	724	1	228	11B_ss	Normal	46-1-11B_ss-Normal
46	2249	2	307	11A	Normal	46-2-11A-Normal
46	230	2	105	11B	Normal	46-2-11B-Normal
46	1012	3	147	11A	Normal	46-3-11A-Normal
46	407	3	182	11B	Normal	46-3-11B-Normal
46	3616	1	687	11A	SNPs	46-1-11A-SNPs
46	3687	1	98	I4411	SNPs	46-1-I4411-SNPs
46	439	1	181	11B	SNPs	46-1-11B-SNPs
46	721	1	228	11B_ss	SNPs	46-1-11B_ss-SNPs
46	2228	2	307	11A	SNPs	46-2-11A-SNPs
46	229	2	105	11B	SNPs	46-2-11B-SNPs
46	1007	3	146	11A	SNPs	46-3-11A-SNPs
46	405	3	182	11B	SNPs	46-3-11B-SNPs
47	28	1	4	11A	Indels	47-1-11A-Indels
47	91	1	2	I4411	Indels	47-1-I4411-Indels
47	4	1	0	11B_ss	Indels	47-1-11B_ss-Indels
47	16	2	3	11A	Indels	47-2-11A-Indels
47	1	2	0	11B	Indels	47-2-11B-Indels
47	3	3	0	11A	Indels	47-3-11A-Indels
47	2	3	0	11B	Indels	47-3-11B-Indels
47	3392	1	646	11A	Normal	47-1-11A-Normal
47	3503	1	93	I4411	Normal	47-1-I4411-Normal
47	386	1	132	11B	Normal	47-1-11B-Normal
47	624	1	208	11B_ss	Normal	47-1-11B_ss-Normal
47	2109	2	286	11A	Normal	47-2-11A-Normal
47	228	2	102	11B	Normal	47-2-11B-Normal
47	948	3	158	11A	Normal	47-3-11A-Normal
47	368	3	189	11B	Normal	47-3-11B-Normal
47	3364	1	642	11A	SNPs	47-1-11A-SNPs
47	3412	1	91	I4411	SNPs	47-1-I4411-SNPs
47	386	1	132	11B	SNPs	47-1-11B-SNPs
47	620	1	208	11B_ss	SNPs	47-1-11B_ss-SNPs
47	2093	2	283	11A	SNPs	47-2-11A-SNPs
47	227	2	102	11B	SNPs	47-2-11B-SNPs
47	945	3	158	11A	SNPs	47-3-11A-SNPs
47	366	3	189	11B	SNPs	47-3-11B-SNPs
48	25	1	4	11A	Indels	48-1-11A-Indels
48	73	1	2	I4411	Indels	48-1-I4411-Indels
48	4	1	1	11B	Indels	48-1-11B-Indels
48	2	1	0	11B_ss	Indels	48-1-11B_ss-Indels
48	17	2	3	11A	Indels	48-2-11A-Indels
48	1	2	1	11B	Indels	48-2-11B-Indels
48	7	3	2	11A	Indels	48-3-11A-Indels
48	2	3	1	11B	Indels	48-3-11B-Indels
48	3123	1	595	11A	Normal	48-1-11A-Normal
48	3420	1	86	I4411	Normal	48-1-I4411-Normal
48	408	1	160	11B	Normal	48-1-11B-Normal
48	541	1	158	11B_ss	Normal	48-1-11B_ss-Normal
48	1907	2	259	11A	Normal	48-2-11A-Normal
48	243	2	96	11B	Normal	48-2-11B-Normal
48	805	3	115	11A	Normal	48-3-11A-Normal
48	336	3	167	11B	Normal	48-3-11B-Normal
48	3098	1	591	11A	SNPs	48-1-11A-SNPs
48	3347	1	84	I4411	SNPs	48-1-I4411-SNPs
48	404	1	159	11B	SNPs	48-1-11B-SNPs
48	539	1	158	11B_ss	SNPs	48-1-11B_ss-SNPs
48	1890	2	256	11A	SNPs	48-2-11A-SNPs
48	242	2	95	11B	SNPs	48-2-11B-SNPs
48	798	3	113	11A	SNPs	48-3-11A-SNPs
48	334	3	166	11B	SNPs	48-3-11B-SNPs
49	31	1	2	11A	Indels	49-1-11A-Indels
49	92	1	2	I4411	Indels	49-1-I4411-Indels
49	2	1	0	11B	Indels	49-1-11B-Indels
49	6	1	1	11B_ss	Indels	49-1-11B_ss-Indels
49	12	2	4	11A	Indels	49-2-11A-Indels
49	2	2	0	11B	Indels	49-2-11B-Indels
49	6	3	0	11A	Indels	49-3-11A-Indels
49	3	3	2	11B	Indels	49-3-11B-Indels
49	2834	1	506	11A	Normal	49-1-11A-Normal
49	3285	1	98	I4411	Normal	49-1-I4411-Normal
49	333	1	107	11B	Normal	49-1-11B-Normal
49	495	1	147	11B_ss	Normal	49-1-11B_ss-Normal
49	1718	2	252	11A	Normal	49-2-11A-Normal
49	199	2	59	11B	Normal	49-2-11B-Normal
49	734	3	82	11A	Normal	49-3-11A-Normal
49	306	3	149	11B	Normal	49-3-11B-Normal
49	2803	1	504	11A	SNPs	49-1-11A-SNPs
49	3193	1	96	I4411	SNPs	49-1-I4411-SNPs
49	331	1	107	11B	SNPs	49-1-11B-SNPs
49	489	1	146	11B_ss	SNPs	49-1-11B_ss-SNPs
49	1706	2	248	11A	SNPs	49-2-11A-SNPs
49	197	2	59	11B	SNPs	49-2-11B-SNPs
49	728	3	82	11A	SNPs	49-3-11A-SNPs
49	303	3	147	11B	SNPs	49-3-11B-SNPs
50	36	1	2	11A	Indels	50-1-11A-Indels
50	94	1	2	I4411	Indels	50-1-I4411-Indels
50	3	1	0	11B	Indels	50-1-11B-Indels
50	10	1	2	11B_ss	Indels	50-1-11B_ss-Indels
50	12	2	1	11A	Indels	50-2-11A-Indels
50	4	2	1	11B	Indels	50-2-11B-Indels
50	5	3	1	11A	Indels	50-3-11A-Indels
50	6	3	1	11B	Indels	50-3-11B-Indels
50	2608	1	500	11A	Normal	50-1-11A-Normal
50	3147	1	86	I4411	Normal	50-1-I4411-Normal
50	286	1	96	11B	Normal	50-1-11B-Normal
50	449	1	127	11B_ss	Normal	50-1-11B_ss-Normal
50	1451	2	230	11A	Normal	50-2-11A-Normal
50	167	2	62	11B	Normal	50-2-11B-Normal
50	645	3	110	11A	Normal	50-3-11A-Normal
50	268	3	137	11B	Normal	50-3-11B-Normal
50	2572	1	498	11A	SNPs	50-1-11A-SNPs
50	3053	1	84	I4411	SNPs	50-1-I4411-SNPs
50	283	1	96	11B	SNPs	50-1-11B-SNPs
50	439	1	125	11B_ss	SNPs	50-1-11B_ss-SNPs
50	1439	2	229	11A	SNPs	50-2-11A-SNPs
50	163	2	61	11B	SNPs	50-2-11B-SNPs
50	640	3	109	11A	SNPs	50-3-11A-SNPs
50	262	3	136	11B	SNPs	50-3-11B-SNPs
51	25	1	2	11A	Indels	51-1-11A-Indels
51	71	1	3	I4411	Indels	51-1-I4411-Indels
51	4	1	2	11B	Indels	51-1-11B-Indels
51	2	1	1	11B_ss	Indels	51-1-11B_ss-Indels
51	8	2	1	11A	Indels	51-2-11A-Indels
51	6	2	2	11B	Indels	51-2-11B-Indels
51	2	3	0	11A	Indels	51-3-11A-Indels
51	3	3	1	11B	Indels	51-3-11B-Indels
51	2254	1	434	11A	Normal	51-1-11A-Normal
51	3051	1	65	I4411	Normal	51-1-I4411-Normal
51	264	1	85	11B	Normal	51-1-11B-Normal
51	380	1	107	11B_ss	Normal	51-1-11B_ss-Normal
51	1310	2	182	11A	Normal	51-2-11A-Normal
51	157	2	48	11B	Normal	51-2-11B-Normal
51	570	3	76	11A	Normal	51-3-11A-Normal
51	245	3	122	11B	Normal	51-3-11B-Normal
51	2229	1	432	11A	SNPs	51-1-11A-SNPs
51	2980	1	62	I4411	SNPs	51-1-I4411-SNPs
51	260	1	83	11B	SNPs	51-1-11B-SNPs
51	378	1	106	11B_ss	SNPs	51-1-11B_ss-SNPs
51	1302	2	181	11A	SNPs	51-2-11A-SNPs
51	151	2	46	11B	SNPs	51-2-11B-SNPs
51	568	3	76	11A	SNPs	51-3-11A-SNPs
51	242	3	121	11B	SNPs	51-3-11B-SNPs
52	23	1	4	11A	Indels	52-1-11A-Indels
52	87	1	5	I4411	Indels	52-1-I4411-Indels
52	1	1	0	11B	Indels	52-1-11B-Indels
52	4	1	0	11B_ss	Indels	52-1-11B_ss-Indels
52	10	2	3	11A	Indels	52-2-11A-Indels
52	3	2	1	11B	Indels	52-2-11B-Indels
52	4	3	0	11A	Indels	52-3-11A-Indels
52	3	3	1	11B	Indels	52-3-11B-Indels
52	2112	1	442	11A	Normal	52-1-11A-Normal
52	3023	1	82	I4411	Normal	52-1-I4411-Normal
52	228	1	72	11B	Normal	52-1-11B-Normal
52	328	1	93	11B_ss	Normal	52-1-11B_ss-Normal
52	1177	2	164	11A	Normal	52-2-11A-Normal
52	160	2	57	11B	Normal	52-2-11B-Normal
52	535	3	73	11A	Normal	52-3-11A-Normal
52	224	3	126	11B	Normal	52-3-11B-Normal
52	2089	1	438	11A	SNPs	52-1-11A-SNPs
52	2936	1	77	I4411	SNPs	52-1-I4411-SNPs
52	227	1	72	11B	SNPs	52-1-11B-SNPs
52	324	1	93	11B_ss	SNPs	52-1-11B_ss-SNPs
52	1167	2	161	11A	SNPs	52-2-11A-SNPs
52	157	2	56	11B	SNPs	52-2-11B-SNPs
52	531	3	73	11A	SNPs	52-3-11A-SNPs
52	221	3	125	11B	SNPs	52-3-11B-SNPs
53	15	1	4	11A	Indels	53-1-11A-Indels
53	93	1	3	I4411	Indels	53-1-I4411-Indels
53	5	1	1	11B	Indels	53-1-11B-Indels
53	5	1	0	11B_ss	Indels	53-1-11B_ss-Indels
53	15	2	3	11A	Indels	53-2-11A-Indels
53	3	2	0	11B	Indels	53-2-11B-Indels
53	3	3	0	11A	Indels	53-3-11A-Indels
53	2	3	1	11B	Indels	53-3-11B-Indels
53	1787	1	372	11A	Normal	53-1-11A-Normal
53	2931	1	58	I4411	Normal	53-1-I4411-Normal
53	202	1	64	11B	Normal	53-1-11B-Normal
53	318	1	74	11B_ss	Normal	53-1-11B_ss-Normal
53	1078	2	149	11A	Normal	53-2-11A-Normal
53	139	2	45	11B	Normal	53-2-11B-Normal
53	465	3	67	11A	Normal	53-3-11A-Normal
53	186	3	84	11B	Normal	53-3-11B-Normal
53	1772	1	368	11A	SNPs	53-1-11A-SNPs
53	2838	1	55	I4411	SNPs	53-1-I4411-SNPs
53	197	1	63	11B	SNPs	53-1-11B-SNPs
53	313	1	74	11B_ss	SNPs	53-1-11B_ss-SNPs
53	1063	2	146	11A	SNPs	53-2-11A-SNPs
53	136	2	45	11B	SNPs	53-2-11B-SNPs
53	462	3	67	11A	SNPs	53-3-11A-SNPs
53	184	3	83	11B	SNPs	53-3-11B-SNPs
54	14	1	1	11A	Indels	54-1-11A-Indels
54	83	1	1	I4411	Indels	54-1-I4411-Indels
54	3	1	0	11B_ss	Indels	54-1-11B_ss-Indels
54	11	2	3	11A	Indels	54-2-11A-Indels
54	4	2	0	11B	Indels	54-2-11B-Indels
54	4	3	0	11A	Indels	54-3-11A-Indels
54	3	3	0	11B	Indels	54-3-11B-Indels
54	1684	1	324	11A	Normal	54-1-11A-Normal
54	2960	1	69	I4411	Normal	54-1-I4411-Normal
54	184	1	51	11B	Normal	54-1-11B-Normal
54	276	1	73	11B_ss	Normal	54-1-11B_ss-Normal
54	996	2	135	11A	Normal	54-2-11A-Normal
54	121	2	36	11B	Normal	54-2-11B-Normal
54	432	3	56	11A	Normal	54-3-11A-Normal
54	175	3	89	11B	Normal	54-3-11B-Normal
54	1670	1	323	11A	SNPs	54-1-11A-SNPs
54	2877	1	68	I4411	SNPs	54-1-I4411-SNPs
54	184	1	51	11B	SNPs	54-1-11B-SNPs
54	273	1	73	11B_ss	SNPs	54-1-11B_ss-SNPs
54	985	2	132	11A	SNPs	54-2-11A-SNPs
54	117	2	36	11B	SNPs	54-2-11B-SNPs
54	428	3	56	11A	SNPs	54-3-11A-SNPs
54	172	3	89	11B	SNPs	54-3-11B-SNPs
55	12	1	5	11A	Indels	55-1-11A-Indels
55	76	1	2	I4411	Indels	55-1-I4411-Indels
55	1	1	1	11B	Indels	55-1-11B-Indels
55	1	1	1	11B_ss	Indels	55-1-11B_ss-Indels
55	10	2	0	11A	Indels	55-2-11A-Indels
55	4	3	0	11A	Indels	55-3-11A-Indels
55	1417	1	266	11A	Normal	55-1-11A-Normal
55	2821	1	57	I4411	Normal	55-1-I4411-Normal
55	188	1	44	11B	Normal	55-1-11B-Normal
55	232	1	53	11B_ss	Normal	55-1-11B_ss-Normal
55	805	2	106	11A	Normal	55-2-11A-Normal
55	111	2	37	11B	Normal	55-2-11B-Normal
55	351	3	60	11A	Normal	55-3-11A-Normal
55	143	3	66	11B	Normal	55-3-11B-Normal
55	1405	1	261	11A	SNPs	55-1-11A-SNPs
55	2745	1	55	I4411	SNPs	55-1-I4411-SNPs
55	187	1	43	11B	SNPs	55-1-11B-SNPs
55	231	1	52	11B_ss	SNPs	55-1-11B_ss-SNPs
55	795	2	106	11A	SNPs	55-2-11A-SNPs
55	111	2	37	11B	SNPs	55-2-11B-SNPs
55	347	3	60	11A	SNPs	55-3-11A-SNPs
55	143	3	66	11B	SNPs	55-3-11B-SNPs
56	18	1	4	11A	Indels	56-1-11A-Indels
56	87	1	2	I4411	Indels	56-1-I4411-Indels
56	2	1	0	11B	Indels	56-1-11B-Indels
56	4	1	0	11B_ss	Indels	56-1-11B_ss-Indels
56	6	2	1	11A	Indels	56-2-11A-Indels
56	1	2	0	11B	Indels	56-2-11B-Indels
56	6	3	0	11A	Indels	56-3-11A-Indels
56	2	3	0	11B	Indels	56-3-11B-Indels
56	1338	1	265	11A	Normal	56-1-11A-Normal
56	2781	1	51	I4411	Normal	56-1-I4411-Normal
56	175	1	49	11B	Normal	56-1-11B-Normal
56	203	1	37	11B_ss	Normal	56-1-11B_ss-Normal
56	717	2	92	11A	Normal	56-2-11A-Normal
56	113	2	25	11B	Normal	56-2-11B-Normal
56	308	3	37	11A	Normal	56-3-11A-Normal
56	141	3	60	11B	Normal	56-3-11B-Normal
56	1320	1	261	11A	SNPs	56-1-11A-SNPs
56	2694	1	49	I4411	SNPs	56-1-I4411-SNPs
56	173	1	49	11B	SNPs	56-1-11B-SNPs
56	199	1	37	11B_ss	SNPs	56-1-11B_ss-SNPs
56	711	2	91	11A	SNPs	56-2-11A-SNPs
56	112	2	25	11B	SNPs	56-2-11B-SNPs
56	302	3	37	11A	SNPs	56-3-11A-SNPs
56	139	3	60	11B	SNPs	56-3-11B-SNPs
57	15	1	2	11A	Indels	57-1-11A-Indels
57	76	1	2	I4411	Indels	57-1-I4411-Indels
57	5	1	0	11B	Indels	57-1-11B-Indels
57	3	1	0	11B_ss	Indels	57-1-11B_ss-Indels
57	13	2	0	11A	Indels	57-2-11A-Indels
57	1	2	0	11B	Indels	57-2-11B-Indels
57	3	3	0	11A	Indels	57-3-11A-Indels
57	1181	1	222	11A	Normal	57-1-11A-Normal
57	2673	1	58	I4411	Normal	57-1-I4411-Normal
57	158	1	32	11B	Normal	57-1-11B-Normal
57	173	1	36	11B_ss	Normal	57-1-11B_ss-Normal
57	731	2	110	11A	Normal	57-2-11A-Normal
57	81	2	19	11B	Normal	57-2-11B-Normal
57	289	3	33	11A	Normal	57-3-11A-Normal
57	109	3	48	11B	Normal	57-3-11B-Normal
57	1166	1	220	11A	SNPs	57-1-11A-SNPs
57	2597	1	56	I4411	SNPs	57-1-I4411-SNPs
57	153	1	32	11B	SNPs	57-1-11B-SNPs
57	170	1	36	11B_ss	SNPs	57-1-11B_ss-SNPs
57	718	2	110	11A	SNPs	57-2-11A-SNPs
57	80	2	19	11B	SNPs	57-2-11B-SNPs
57	286	3	33	11A	SNPs	57-3-11A-SNPs
57	109	3	48	11B	SNPs	57-3-11B-SNPs
58	20	1	5	11A	Indels	58-1-11A-Indels
58	94	1	0	I4411	Indels	58-1-I4411-Indels
58	2	1	0	11B	Indels	58-1-11B-Indels
58	8	2	0	11A	Indels	58-2-11A-Indels
58	2	2	0	11B	Indels	58-2-11B-Indels
58	5	3	1	11A	Indels	58-3-11A-Indels
58	1	3	0	11B	Indels	58-3-11B-Indels
58	1055	1	239	11A	Normal	58-1-11A-Normal
58	2746	1	59	I4411	Normal	58-1-I4411-Normal
58	143	1	20	11B	Normal	58-1-11B-Normal
58	170	1	36	11B_ss	Normal	58-1-11B_ss-Normal
58	615	2	75	11A	Normal	58-2-11A-Normal
58	101	2	26	11B	Normal	58-2-11B-Normal
58	303	3	43	11A	Normal	58-3-11A-Normal
58	89	3	43	11B	Normal	58-3-11B-Normal
58	1035	1	234	11A	SNPs	58-1-11A-SNPs
58	2652	1	59	I4411	SNPs	58-1-I4411-SNPs
58	141	1	20	11B	SNPs	58-1-11B-SNPs
58	170	1	36	11B_ss	SNPs	58-1-11B_ss-SNPs
58	607	2	75	11A	SNPs	58-2-11A-SNPs
58	99	2	26	11B	SNPs	58-2-11B-SNPs
58	298	3	42	11A	SNPs	58-3-11A-SNPs
58	88	3	43	11B	SNPs	58-3-11B-SNPs
59	8	1	0	11A	Indels	59-1-11A-Indels
59	15	1	0	I4411	Indels	59-1-I4411-Indels
59	1	1	0	11B	Indels	59-1-11B-Indels
59	3	1	2	11B_ss	Indels	59-1-11B_ss-Indels
59	4	2	1	11A	Indels	59-2-11A-Indels
59	3	2	0	11B	Indels	59-2-11B-Indels
59	5	3	0	11A	Indels	59-3-11A-Indels
59	1	3	0	11B	Indels	59-3-11B-Indels
59	1003	1	203	11A	Normal	59-1-11A-Normal
59	658	1	13	I4411	Normal	59-1-I4411-Normal
59	149	1	16	11B	Normal	59-1-11B-Normal
59	173	1	25	11B_ss	Normal	59-1-11B_ss-Normal
59	571	2	75	11A	Normal	59-2-11A-Normal
59	100	2	21	11B	Normal	59-2-11B-Normal
59	261	3	35	11A	Normal	59-3-11A-Normal
59	80	3	35	11B	Normal	59-3-11B-Normal
59	995	1	203	11A	SNPs	59-1-11A-SNPs
59	643	1	13	I4411	SNPs	59-1-I4411-SNPs
59	148	1	16	11B	SNPs	59-1-11B-SNPs
59	170	1	23	11B_ss	SNPs	59-1-11B_ss-SNPs
59	567	2	74	11A	SNPs	59-2-11A-SNPs
59	97	2	21	11B	SNPs	59-2-11B-SNPs
59	256	3	35	11A	SNPs	59-3-11A-SNPs
59	79	3	35	11B	SNPs	59-3-11B-SNPs
60	18	1	4	11A	Indels	60-1-11A-Indels
60	7	1	0	I4411	Indels	60-1-I4411-Indels
60	5	1	1	11B	Indels	60-1-11B-Indels
60	2	1	0	11B_ss	Indels	60-1-11B_ss-Indels
60	8	2	0	11A	Indels	60-2-11A-Indels
60	4	3	0	11A	Indels	60-3-11A-Indels
60	844	1	175	11A	Normal	60-1-11A-Normal
60	356	1	6	I4411	Normal	60-1-I4411-Normal
60	139	1	23	11B	Normal	60-1-11B-Normal
60	160	1	25	11B_ss	Normal	60-1-11B_ss-Normal
60	463	2	59	11A	Normal	60-2-11A-Normal
60	81	2	9	11B	Normal	60-2-11B-Normal
60	221	3	25	11A	Normal	60-3-11A-Normal
60	66	3	33	11B	Normal	60-3-11B-Normal
60	826	1	171	11A	SNPs	60-1-11A-SNPs
60	349	1	6	I4411	SNPs	60-1-I4411-SNPs
60	134	1	22	11B	SNPs	60-1-11B-SNPs
60	158	1	25	11B_ss	SNPs	60-1-11B_ss-SNPs
60	455	2	59	11A	SNPs	60-2-11A-SNPs
60	81	2	9	11B	SNPs	60-2-11B-SNPs
60	217	3	25	11A	SNPs	60-3-11A-SNPs
60	66	3	33	11B	SNPs	60-3-11B-SNPs
61	12	1	0	11A	Indels	61-1-11A-Indels
61	8	1	0	I4411	Indels	61-1-I4411-Indels
61	4	1	0	11B	Indels	61-1-11B-Indels
61	2	1	0	11B_ss	Indels	61-1-11B_ss-Indels
61	5	2	0	11A	Indels	61-2-11A-Indels
61	1	2	0	11B	Indels	61-2-11B-Indels
61	3	3	0	11A	Indels	61-3-11A-Indels
61	735	1	144	11A	Normal	61-1-11A-Normal
61	218	1	3	I4411	Normal	61-1-I4411-Normal
61	129	1	18	11B	Normal	61-1-11B-Normal
61	165	1	23	11B_ss	Normal	61-1-11B_ss-Normal
61	392	2	43	11A	Normal	61-2-11A-Normal
61	66	2	7	11B	Normal	61-2-11B-Normal
61	196	3	29	11A	Normal	61-3-11A-Normal
61	53	3	17	11B	Normal	61-3-11B-Normal
61	723	1	144	11A	SNPs	61-1-11A-SNPs
61	210	1	3	I4411	SNPs	61-1-I4411-SNPs
61	125	1	18	11B	SNPs	61-1-11B-SNPs
61	163	1	23	11B_ss	SNPs	61-1-11B_ss-SNPs
61	387	2	43	11A	SNPs	61-2-11A-SNPs
61	65	2	7	11B	SNPs	61-2-11B-SNPs
61	193	3	29	11A	SNPs	61-3-11A-SNPs
61	53	3	17	11B	SNPs	61-3-11B-SNPs
62	11	1	2	11A	Indels	62-1-11A-Indels
62	12	1	0	I4411	Indels	62-1-I4411-Indels
62	2	1	0	11B_ss	Indels	62-1-11B_ss-Indels
62	6	2	0	11A	Indels	62-2-11A-Indels
62	4	2	0	11B	Indels	62-2-11B-Indels
62	1	3	0	11A	Indels	62-3-11A-Indels
62	715	1	134	11A	Normal	62-1-11A-Normal
62	460	1	11	I4411	Normal	62-1-I4411-Normal
62	101	1	13	11B	Normal	62-1-11B-Normal
62	131	1	22	11B_ss	Normal	62-1-11B_ss-Normal
62	332	2	41	11A	Normal	62-2-11A-Normal
62	79	2	17	11B	Normal	62-2-11B-Normal
62	146	3	12	11A	Normal	62-3-11A-Normal
62	61	3	32	11B	Normal	62-3-11B-Normal
62	704	1	132	11A	SNPs	62-1-11A-SNPs
62	448	1	11	I4411	SNPs	62-1-I4411-SNPs
62	101	1	13	11B	SNPs	62-1-11B-SNPs
62	129	1	22	11B_ss	SNPs	62-1-11B_ss-SNPs
62	326	2	41	11A	SNPs	62-2-11A-SNPs
62	75	2	17	11B	SNPs	62-2-11B-SNPs
62	145	3	12	11A	SNPs	62-3-11A-SNPs
62	61	3	32	11B	SNPs	62-3-11B-SNPs
63	10	1	2	11A	Indels	63-1-11A-Indels
63	14	1	0	I4411	Indels	63-1-I4411-Indels
63	4	1	0	11B	Indels	63-1-11B-Indels
63	1	1	0	11B_ss	Indels	63-1-11B_ss-Indels
63	7	2	2	11A	Indels	63-2-11A-Indels
63	2	3	0	11A	Indels	63-3-11A-Indels
63	595	1	117	11A	Normal	63-1-11A-Normal
63	520	1	9	I4411	Normal	63-1-I4411-Normal
63	107	1	14	11B	Normal	63-1-11B-Normal
63	98	1	12	11B_ss	Normal	63-1-11B_ss-Normal
63	325	2	41	11A	Normal	63-2-11A-Normal
63	56	2	5	11B	Normal	63-2-11B-Normal
63	159	3	21	11A	Normal	63-3-11A-Normal
63	55	3	28	11B	Normal	63-3-11B-Normal
